,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
130,AU,mccredit,544637.0,36000.0,AUD,AU,Ecommerce,TRUE,0,1443668784.0,APACAccount,239930,6269,102534,1,2015-10-1
2114,MX,visaclassic,477291.0,329900.0,MXN,MX,Ecommerce,TRUE,0,1444436997.0,MexicoAccount,55291,68304,37090,1,2015-10-10
2115,MX,visaplatinum,493158.0,174800.0,MXN,MX,Ecommerce,TRUE,0,1444468197.0,MexicoAccount,112275,111351,78455,1,2015-10-10
2116,MX,visadebit,421316.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1444513861.0,MexicoAccount,74363,61645,223620,1,2015-10-10
2172,AU,visaclassic,456471.0,90000.0,AUD,AU,Ecommerce,TRUE,0,1444447413.0,APACAccount,50433,116491,243246,1,2015-10-10
3467,AU,mccredit,522980.0,30000.0,AUD,AU,Ecommerce,TRUE,0,1444572981.0,APACAccount,279142,27665,206860,1,2015-10-11
5071,MX,visaclassic,477291.0,59700.0,MXN,MX,Ecommerce,TRUE,0,1444617557.0,MexicoAccount,252368,110376,159508,1,2015-10-12
5072,MX,mccredit,547046.0,89800.0,MXN,MX,Ecommerce,TRUE,0,1444625668.0,MexicoAccount,221921,84110,125915,1,2015-10-12
5073,MX,mcdebit,525678.0,99900.0,MXN,MX,Ecommerce,TRUE,0,1444668875.0,MexicoAccount,108296,60803,253717,1,2015-10-12
5074,MX,mccredit,547046.0,90900.0,MXN,MX,Ecommerce,TRUE,0,1444685919.0,MexicoAccount,156322,84107,141251,1,2015-10-12
5170,AU,mccredit,535316.0,37000.0,AUD,AU,Ecommerce,TRUE,0,1444623360.0,APACAccount,29499,55258,269472,1,2015-10-12
5171,AU,mccredit,522980.0,49000.0,AUD,AU,Ecommerce,TRUE,0,1444645115.0,APACAccount,146619,24799,10830,1,2015-10-12
5172,AU,visadebit,423954.0,22000.0,AUD,AU,Ecommerce,TRUE,0,1444667693.0,APACAccount,337835,208,234413,1,2015-10-12
